Gene,Main location,Other location,Expression type,Reliability
ENSG00000140650,Nucleus,,Staining,Non-supportive
ENSG00000140675,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000140678,Cytoplasm,,APE,Low
ENSG00000140682,Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000140688,Nucleoli;Golgi apparatus;Vesicles,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000140691,,,Staining,Uncertain
ENSG00000140694,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000140740,Mitochondria,,APE,High
ENSG00000140743,Nucleus but not nucleoli,Golgi apparatus,APE,Medium
ENSG00000140749,Nucleus,,APE,Low
ENSG00000140750,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000140795,Nucleus but not nucleoli,Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000140798,,,Staining,Uncertain
ENSG00000140829,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000140832,Vesicles,,Staining,Uncertain
ENSG00000140835,Nuclear membrane,,Staining,Non-supportive
ENSG00000140854,Plasma membrane;Cytoplasm,Cytoskeleton (Microtubules),Staining,Supportive
ENSG00000140859,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000140873,,,Staining,Uncertain
ENSG00000140876,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000140905,,,Staining,Uncertain
ENSG00000140931,Nucleus,,Staining,Uncertain
ENSG00000140932,Nucleus but not nucleoli,,APE,High
ENSG00000140943,Nucleus;Cytoplasm,,Staining,Non-supportive
ENSG00000140945,,,Staining,Uncertain
ENSG00000140948,Nucleus but not nucleoli,Cytoplasm;Vesicles,Staining,Uncertain
ENSG00000140950,Nucleus;Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000140961,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000140968,,,Staining,Uncertain
ENSG00000140983,Cytoplasm,,APE,Medium
ENSG00000140993,Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000141002,Cytoplasm,Mitochondria,Staining,Supportive
ENSG00000141030,Nucleus;Cytoplasm,,Staining,Supportive
ENSG00000141040,Golgi apparatus,,Staining,Uncertain
ENSG00000141048,Focal Adhesions,Nucleus;Nucleoli,Staining,Uncertain
ENSG00000141076,,,Staining,Uncertain
ENSG00000141098,Nucleus but not nucleoli;Cytoplasm,,APE,Low
ENSG00000141127,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000141140,Cytoplasm,,Staining,Supportive
ENSG00000141161,Cytoplasm,,Staining,Uncertain
ENSG00000141198,Mitochondria,,Staining,Non-supportive
ENSG00000141200,Nucleoli;Cytoskeleton (Microtubules),Nucleus,Staining,Supportive
ENSG00000141219,Nucleus;Vesicles,,Staining,Uncertain
ENSG00000141252,Cytoplasm,,APE,Very low
ENSG00000141258,Nucleus but not nucleoli;Cytoplasm,,APE,Low
ENSG00000141293,Nucleus;Cytoplasm,,Staining,Supportive
ENSG00000141294,Cytoplasm,,Staining,Uncertain
ENSG00000141295,Nucleus but not nucleoli,Golgi apparatus,APE,Medium
ENSG00000141316,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000141337,Nucleus;Cytoskeleton (Actin filaments),,APE,Very low
ENSG00000141338,,,Staining,Uncertain
ENSG00000141371,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000141378,Mitochondria;Endoplasmic reticulum,,Staining,Uncertain
ENSG00000141384,Nucleus but not nucleoli,Nucleoli,Staining,Supportive
ENSG00000141385,Mitochondria,,APE,High
ENSG00000141425,Nucleus;Golgi apparatus,,Staining,Uncertain
ENSG00000141429,Cytoplasm,,Staining,Non-supportive
ENSG00000141446,Plasma membrane;Cytoplasm,Cytoskeleton (Intermediate filaments),Staining,Non-supportive
ENSG00000141447,Nucleus,Cytoplasm,APE,High
ENSG00000141458,Nucleus but not nucleoli,Cytoplasm,Staining,Non-supportive
ENSG00000141497,Vesicles,,Staining,Uncertain
ENSG00000141499,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000141505,Cytoplasm,,APE,Low
ENSG00000141519,Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000141526,Plasma membrane,Nuclear membrane;Cytoskeleton (Actin filaments),Staining,Supportive
ENSG00000141527,Cytoplasm,Aggresome,Staining,Supportive
ENSG00000141543,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000141552,Nucleus but not nucleoli,Nucleoli,APE,High
ENSG00000141564,,,Staining,Uncertain
ENSG00000141568,Nucleus but not nucleoli;Vesicles,,Staining,Supportive
ENSG00000141569,Nucleus but not nucleoli;Vesicles,Cytoplasm,APE,Medium
ENSG00000141570,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000141576,Nucleoli;Nuclear membrane;Golgi apparatus;Vesicles,,APE,Very low
ENSG00000141577,Centrosome,Vesicles;Cytoskeleton (Microtubules),Staining,Supportive
ENSG00000141579,Nucleus,Nucleoli;Vesicles,Staining,Uncertain
ENSG00000141580,Nucleus;Golgi apparatus,Cytoplasm,Staining,Uncertain
ENSG00000141582,Nucleus but not nucleoli;Golgi apparatus,Cytoplasm,Staining,Supportive
ENSG00000141639,Mitochondria,,Staining,Uncertain
ENSG00000141642,Cytoskeleton (Intermediate filaments),Cytoplasm,Staining,Uncertain
ENSG00000141644,Centrosome,,Staining,Non-supportive
ENSG00000141646,Nucleus but not nucleoli;Cytoplasm;Centrosome,,Staining,Supportive
ENSG00000141655,Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000141664,Nucleoli;Cytoplasm,Nucleus,Staining,Uncertain
ENSG00000141698,Nucleus;Nucleus but not nucleoli,Nucleoli;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000141699,Nucleus but not nucleoli;Nuclear membrane,Cytoplasm,Staining,Uncertain
ENSG00000141736,,,Staining,Uncertain
ENSG00000141750,Nucleus but not nucleoli,Vesicles,Staining,Uncertain
ENSG00000141854,,,Staining,Uncertain
ENSG00000141867,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000141873,Vesicles,,Staining,Uncertain
ENSG00000141946,Cytoplasm,,Staining,Uncertain
ENSG00000141956,Vesicles;Cytoskeleton (Microtubules),Nucleus;Nucleoli;Centrosome,Staining,Uncertain
ENSG00000141959,Nucleoli;Mitochondria,,Staining,Uncertain
ENSG00000141965,Nucleus;Nucleoli;Cytoplasm;Golgi apparatus;Cytoskeleton (Intermediate filaments),,Staining,Uncertain
ENSG00000141968,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000141971,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000141985,Cytoplasm,,Staining,Supportive
ENSG00000141994,Nucleus,Mitochondria,Staining,Uncertain
ENSG00000142002,Cytoplasm,,Staining,Supportive
ENSG00000142025,Mitochondria,,Staining,Uncertain
ENSG00000142039,Nucleus but not nucleoli,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000142065,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000142082,Nucleoli,Nucleus,Staining,Non-supportive
ENSG00000142089,Golgi apparatus,,Staining,Uncertain
ENSG00000142102,Cytoplasm,,Staining,Uncertain
ENSG00000142156,Cytoplasm,,Staining,Uncertain
ENSG00000142166,Cytoplasm,,Staining,Uncertain
ENSG00000142168,Nucleus but not nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000142173,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000142185,Nucleus but not nucleoli,Cytoplasm;Centrosome,Staining,Uncertain
ENSG00000142186,Cytoplasm,,Staining,Supportive
ENSG00000142192,Golgi apparatus,Vesicles,Staining,Supportive
ENSG00000142207,Nucleoli,,Staining,Supportive
ENSG00000142208,Nucleus,Cytoskeleton (Microtubules),Staining,Supportive
ENSG00000142235,Nucleus but not nucleoli,Plasma membrane,Staining,Uncertain
ENSG00000142303,Cytoplasm,Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000142319,Vesicles,,Staining,Uncertain
ENSG00000142327,,,Staining,Uncertain
